# T_K Q_known Q_missing Q_estimated missing_fraction
3.13677748e+01 6.79120091e+02 7.95212845e-77 6.79120091e+02 1.17094584e-79
3.20354828e+01 7.04135394e+02 3.95304378e-75 7.04135394e+02 5.61403932e-78
3.27174039e+01 7.30024438e+02 1.81223224e-73 7.30024438e+02 2.48242681e-76
3.34138407e+01 7.56816322e+02 7.67472931e-72 7.56816322e+02 1.01408084e-74
3.41251021e+01 7.84541151e+02 3.00744014e-70 7.84541151e+02 3.83337463e-73
3.48515038e+01 8.13230083e+02 1.09224079e-68 8.13230083e+02 1.34308951e-71
3.55933679e+01 8.42915371e+02 3.68226790e-67 8.42915371e+02 4.36849063e-70
3.63510237e+01 8.73630419e+02 1.15414863e-65 8.73630419e+02 1.32109483e-68
3.71248073e+01 9.05409833e+02 3.36834989e-64 9.05409833e+02 3.72024885e-67
3.79150620e+01 9.38289483e+02 9.16701074e-63 9.38289483e+02 9.76991739e-66
3.87221384e+01 9.72306557e+02 2.32983887e-61 9.72306557e+02 2.39619784e-64
3.95463945e+01 1.00749963e+03 5.53771979e-60 1.00749963e+03 5.49649807e-63
4.03881962e+01 1.04390875e+03 1.23267742e-58 1.04390875e+03 1.18082871e-61
4.12479167e+01 1.08157547e+03 2.57320904e-57 1.08157547e+03 2.37913037e-60
4.21259377e+01 1.12054297e+03 5.04416494e-56 1.12054297e+03 4.50153640e-59
4.30226486e+01 1.16085611e+03 9.29739691e-55 1.16085611e+03 8.00908640e-58
4.39384473e+01 1.20256156e+03 1.61342499e-53 1.20256156e+03 1.34165688e-56
4.48737400e+01 1.24570784e+03 2.63935205e-52 1.24570784e+03 2.11875687e-55
4.58289418e+01 1.29034546e+03 4.07512974e-51 1.29034546e+03 3.15816956e-54
4.68044764e+01 1.33652699e+03 5.94571980e-50 1.33652699e+03 4.44863429e-53
4.78007767e+01 1.38430723e+03 8.20726990e-49 1.38430723e+03 5.92879220e-52
4.88182847e+01 1.43374326e+03 1.07306490e-47 1.43374326e+03 7.48435882e-51
4.98574518e+01 1.48489463e+03 1.33038558e-46 1.48489463e+03 8.95946119e-50
