# ['MStar', 'MRate', 'incl']
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.05340154 0.00195101 62.28449807
20.29471776 0.00189772 65.95398555
20.29471776 0.00189772 65.95398555
20.29471776 0.00189772 65.95398555
20.29471776 0.00189772 65.95398555
20.29471776 0.00189772 65.95398555
20.29471776 0.00189772 65.95398555
20.29471776 0.00189772 65.95398555
20.29471776 0.00189772 65.95398555
20.29471776 0.00189772 65.95398555
20.29471776 0.00189772 65.95398555
20.29471776 0.00189772 65.95398555
20.29471776 0.00189772 65.95398555
20.29471776 0.00189772 65.95398555
20.29471776 0.00189772 65.95398555
20.29471776 0.00189772 65.95398555
20.29471776 0.00189772 65.95398555
20.29471776 0.00189772 65.95398555
20.29471776 0.00189772 65.95398555
20.29471776 0.00189772 65.95398555
20.29471776 0.00189772 65.95398555
20.29471776 0.00189772 65.95398555
20.29471776 0.00189772 65.95398555
20.29471776 0.00189772 65.95398555
19.96515718 0.00180955 69.92026753
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
19.81949300 0.00171649 79.75569521
20.37943254 0.00201959 63.19805655
20.37943254 0.00201959 63.19805655
20.37943254 0.00201959 63.19805655
20.37943254 0.00201959 63.19805655
20.37943254 0.00201959 63.19805655
20.37943254 0.00201959 63.19805655
20.37943254 0.00201959 63.19805655
20.37943254 0.00201959 63.19805655
20.37943254 0.00201959 63.19805655
20.37943254 0.00201959 63.19805655
20.37943254 0.00201959 63.19805655
20.37943254 0.00201959 63.19805655
20.37943254 0.00201959 63.19805655
20.37943254 0.00201959 63.19805655
20.37943254 0.00201959 63.19805655
20.37943254 0.00201959 63.19805655
20.37943254 0.00201959 63.19805655
20.37943254 0.00201959 63.19805655
20.37943254 0.00201959 63.19805655
20.37943254 0.00201959 63.19805655
20.37943254 0.00201959 63.19805655
20.37943254 0.00201959 63.19805655
20.37943254 0.00201959 63.19805655
20.70901411 0.00199471 63.15894463
20.70901411 0.00199471 63.15894463
20.70901411 0.00199471 63.15894463
20.70901411 0.00199471 63.15894463
20.70901411 0.00199471 63.15894463
20.70901411 0.00199471 63.15894463
20.70901411 0.00199471 63.15894463
20.70901411 0.00199471 63.15894463
20.70901411 0.00199471 63.15894463
20.70901411 0.00199471 63.15894463
20.70901411 0.00199471 63.15894463
20.70901411 0.00199471 63.15894463
20.70901411 0.00199471 63.15894463
20.70901411 0.00199471 63.15894463
20.70901411 0.00199471 63.15894463
