# ['MStar', 'MRate', 'Rdisc', 'cavity_ang', 'incl']
15.66738704 0.00063645 385.39690780 58.26281295 27.55348005
15.66738704 0.00063645 385.39690780 58.26281295 27.55348005
15.66738704 0.00063645 385.39690780 58.26281295 27.55348005
14.59263091 0.00059258 397.13393635 55.43367683 30.32529693
14.59263091 0.00059258 397.13393635 55.43367683 30.32529693
14.59263091 0.00059258 397.13393635 55.43367683 30.32529693
15.45061285 0.00057690 416.20594744 56.54837220 30.39949929
15.06182227 0.00057012 416.57441672 55.59163348 31.12045950
15.09880913 0.00057005 417.12184353 55.61718466 31.10751169
14.30333497 0.00055647 417.62712178 53.68761876 32.55886391
14.30333497 0.00055647 417.62712178 53.68761876 32.55886391
14.30333497 0.00055647 417.62712178 53.68761876 32.55886391
14.15479690 0.00054932 420.32554044 53.24945931 33.02003023
15.94364103 0.00057660 443.87322055 56.53129229 31.73023464
16.22194437 0.00058196 445.67762186 56.75917687 31.54861768
16.22194437 0.00058196 445.67762186 56.75917687 31.54861768
16.56265388 0.00058742 448.61882333 57.07009598 31.34852316
18.74051974 0.00066056 450.50583755 59.80693539 28.78184719
18.74051974 0.00066056 450.50583755 59.80693539 28.78184719
18.74051974 0.00066056 450.50583755 59.80693539 28.78184719
18.74051974 0.00066056 450.50583755 59.80693539 28.78184719
19.11436341 0.00066826 452.77256780 59.88320015 28.62105736
19.11436341 0.00066826 452.77256780 59.88320015 28.62105736
19.11436341 0.00066826 452.77256780 59.88320015 28.62105736
19.11436341 0.00066826 452.77256780 59.88320015 28.62105736
21.12462991 0.00069779 470.31579659 60.81766034 27.95552735
21.12462991 0.00069779 470.31579659 60.81766034 27.95552735
20.34493015 0.00067439 468.94808500 60.46403772 28.54348309
20.61354718 0.00069214 466.01345001 62.38188835 27.39560575
20.61354718 0.00069214 466.01345001 62.38188835 27.39560575
20.61354718 0.00069214 466.01345001 62.38188835 27.39560575
20.61354718 0.00069214 466.01345001 62.38188835 27.39560575
22.88723479 0.00074097 478.35994234 61.85591412 26.69453816
24.40586026 0.00077210 486.46083999 62.76497568 25.83841666
24.40586026 0.00077210 486.46083999 62.76497568 25.83841666
