# ['MStar', 'MRate', 'Rdisc', 'Arho0', 'cavity_ang', 'incl']
19.32369081 0.00108995 546.10698236 2.24051969 26.21683177 28.31179269
19.32369081 0.00108995 546.10698236 2.24051969 26.21683177 28.31179269
19.32369081 0.00108995 546.10698236 2.24051969 26.21683177 28.31179269
19.32369081 0.00108995 546.10698236 2.24051969 26.21683177 28.31179269
19.32416750 0.00108951 545.89863729 2.24312683 26.27086950 28.32167291
19.32416750 0.00108951 545.89863729 2.24312683 26.27086950 28.32167291
19.32416750 0.00108951 545.89863729 2.24312683 26.27086950 28.32167291
19.38799687 0.00108420 548.10544660 2.25402080 26.21517035 28.41566086
19.38799687 0.00108420 548.10544660 2.25402080 26.21517035 28.41566086
19.38799687 0.00108420 548.10544660 2.25402080 26.21517035 28.41566086
19.38799687 0.00108420 548.10544660 2.25402080 26.21517035 28.41566086
19.38799687 0.00108420 548.10544660 2.25402080 26.21517035 28.41566086
19.01464936 0.00110109 547.55072614 2.19232217 27.62875162 28.18868373
19.01430799 0.00110112 547.55626794 2.19220836 27.63038814 28.18844240
19.01430799 0.00110112 547.55626794 2.19220836 27.63038814 28.18844240
19.05308228 0.00110515 547.93767152 2.18931760 27.54552142 28.12439790
19.05308228 0.00110515 547.93767152 2.18931760 27.54552142 28.12439790
19.05308228 0.00110515 547.93767152 2.18931760 27.54552142 28.12439790
19.05308228 0.00110515 547.93767152 2.18931760 27.54552142 28.12439790
19.05308228 0.00110515 547.93767152 2.18931760 27.54552142 28.12439790
19.05308228 0.00110515 547.93767152 2.18931760 27.54552142 28.12439790
19.25994295 0.00112086 546.87555449 2.18330421 25.58229962 27.81732400
19.25994295 0.00112086 546.87555449 2.18330421 25.58229962 27.81732400
19.25994295 0.00112086 546.87555449 2.18330421 25.58229962 27.81732400
19.25994295 0.00112086 546.87555449 2.18330421 25.58229962 27.81732400
19.25994295 0.00112086 546.87555449 2.18330421 25.58229962 27.81732400
19.25994295 0.00112086 546.87555449 2.18330421 25.58229962 27.81732400
19.25994295 0.00112086 546.87555449 2.18330421 25.58229962 27.81732400
19.25994295 0.00112086 546.87555449 2.18330421 25.58229962 27.81732400
19.25994295 0.00112086 546.87555449 2.18330421 25.58229962 27.81732400
19.25994295 0.00112086 546.87555449 2.18330421 25.58229962 27.81732400
19.25994295 0.00112086 546.87555449 2.18330421 25.58229962 27.81732400
19.39228582 0.00113143 548.39237768 2.16158197 23.34483355 27.62679399
19.39228582 0.00113143 548.39237768 2.16158197 23.34483355 27.62679399
19.39228582 0.00113143 548.39237768 2.16158197 23.34483355 27.62679399
19.39228582 0.00113143 548.39237768 2.16158197 23.34483355 27.62679399
19.21494620 0.00112063 552.69060435 2.12939055 23.14008773 27.91710123
19.21494620 0.00112063 552.69060435 2.12939055 23.14008773 27.91710123
19.21494620 0.00112063 552.69060435 2.12939055 23.14008773 27.91710123
19.21494620 0.00112063 552.69060435 2.12939055 23.14008773 27.91710123
19.21494620 0.00112063 552.69060435 2.12939055 23.14008773 27.91710123
19.21494620 0.00112063 552.69060435 2.12939055 23.14008773 27.91710123
19.21494620 0.00112063 552.69060435 2.12939055 23.14008773 27.91710123
19.21494620 0.00112063 552.69060435 2.12939055 23.14008773 27.91710123
19.21494620 0.00112063 552.69060435 2.12939055 23.14008773 27.91710123
19.21494620 0.00112063 552.69060435 2.12939055 23.14008773 27.91710123
19.21494620 0.00112063 552.69060435 2.12939055 23.14008773 27.91710123
19.21494620 0.00112063 552.69060435 2.12939055 23.14008773 27.91710123
19.21494620 0.00112063 552.69060435 2.12939055 23.14008773 27.91710123
19.21494620 0.00112063 552.69060435 2.12939055 23.14008773 27.91710123
19.21494620 0.00112063 552.69060435 2.12939055 23.14008773 27.91710123
19.21494620 0.00112063 552.69060435 2.12939055 23.14008773 27.91710123
19.21494620 0.00112063 552.69060435 2.12939055 23.14008773 27.91710123
19.21494620 0.00112063 552.69060435 2.12939055 23.14008773 27.91710123
19.14723525 0.00112289 552.77644908 2.12364887 23.64123661 27.82717992
19.13005353 0.00112477 552.42725767 2.11873757 23.86588220 27.82825240
19.13005353 0.00112477 552.42725767 2.11873757 23.86588220 27.82825240
19.13005353 0.00112477 552.42725767 2.11873757 23.86588220 27.82825240
19.13005353 0.00112477 552.42725767 2.11873757 23.86588220 27.82825240
19.13005353 0.00112477 552.42725767 2.11873757 23.86588220 27.82825240
19.13005353 0.00112477 552.42725767 2.11873757 23.86588220 27.82825240
19.13005353 0.00112477 552.42725767 2.11873757 23.86588220 27.82825240
19.13005353 0.00112477 552.42725767 2.11873757 23.86588220 27.82825240
19.13005353 0.00112477 552.42725767 2.11873757 23.86588220 27.82825240
19.13005353 0.00112477 552.42725767 2.11873757 23.86588220 27.82825240
19.13005353 0.00112477 552.42725767 2.11873757 23.86588220 27.82825240
19.01648940 0.00112798 552.73518405 2.11063431 24.66332433 27.66687930
19.04024505 0.00112731 552.67077118 2.11232937 24.49651323 27.70063576
19.04024505 0.00112731 552.67077118 2.11232937 24.49651323 27.70063576
19.04024505 0.00112731 552.67077118 2.11232937 24.49651323 27.70063576
19.04024505 0.00112731 552.67077118 2.11232937 24.49651323 27.70063576
19.04024505 0.00112731 552.67077118 2.11232937 24.49651323 27.70063576
19.04024505 0.00112731 552.67077118 2.11232937 24.49651323 27.70063576
19.04024505 0.00112731 552.67077118 2.11232937 24.49651323 27.70063576
19.04024505 0.00112731 552.67077118 2.11232937 24.49651323 27.70063576
19.04024505 0.00112731 552.67077118 2.11232937 24.49651323 27.70063576
19.04024505 0.00112731 552.67077118 2.11232937 24.49651323 27.70063576
19.04024505 0.00112731 552.67077118 2.11232937 24.49651323 27.70063576
18.95911658 0.00113321 552.69825099 2.08932238 25.15288168 27.72183116
18.95911658 0.00113321 552.69825099 2.08932238 25.15288168 27.72183116
18.95911658 0.00113321 552.69825099 2.08932238 25.15288168 27.72183116
18.95911658 0.00113321 552.69825099 2.08932238 25.15288168 27.72183116
18.95911658 0.00113321 552.69825099 2.08932238 25.15288168 27.72183116
18.95271238 0.00113321 552.70021702 2.08988333 25.19808885 27.70548876
18.95271238 0.00113321 552.70021702 2.08988333 25.19808885 27.70548876
18.95271238 0.00113321 552.70021702 2.08988333 25.19808885 27.70548876
18.95271238 0.00113321 552.70021702 2.08988333 25.19808885 27.70548876
18.88281203 0.00112923 553.02664043 2.09038384 25.83743413 27.77071709
18.88281203 0.00112923 553.02664043 2.09038384 25.83743413 27.77071709
18.88281203 0.00112923 553.02664043 2.09038384 25.83743413 27.77071709
