# ['MStar', 'MRate']
25.42607848 0.00104128
25.48434105 0.00105215
25.47577164 0.00105243
25.70154403 0.00106118
25.28744083 0.00105842
25.28744083 0.00105842
25.55147915 0.00106417
25.58370882 0.00106182
26.63127690 0.00108547
26.46255740 0.00106826
26.54639485 0.00106746
26.53314734 0.00106251
27.90334982 0.00110386
27.60528945 0.00108925
27.60528945 0.00108925
27.37483163 0.00107909
27.37483163 0.00107909
27.37483163 0.00107909
27.37483163 0.00107909
27.53950602 0.00108184
27.53950602 0.00108184
26.68280181 0.00105916
26.68280181 0.00105916
26.51690363 0.00105294
26.65147407 0.00105461
26.66984142 0.00105663
27.36620141 0.00106365
27.36620141 0.00106365
27.36620141 0.00106365
27.12033273 0.00106141
27.12033273 0.00106141
27.25092527 0.00104849
26.92422493 0.00103095
26.92422493 0.00103095
26.92422493 0.00103095
26.53789393 0.00100877
26.53789393 0.00100877
26.53789393 0.00100877
26.53789393 0.00100877
26.61799963 0.00102580
26.61799963 0.00102580
26.51085916 0.00103510
26.51085916 0.00103510
26.49449100 0.00103463
26.19134852 0.00102594
26.19134852 0.00102594
26.19134852 0.00102594
26.19358787 0.00102880
26.19358787 0.00102880
26.26241956 0.00103927
26.06422243 0.00100914
26.06422243 0.00100914
25.98901376 0.00102028
25.98901376 0.00102028
25.78079332 0.00099415
25.60162551 0.00097053
25.91719821 0.00099955
25.84401346 0.00101747
25.84401346 0.00101747
25.66402585 0.00100649
25.45896279 0.00098670
25.00607612 0.00095767
25.00607612 0.00095767
25.00607612 0.00095767
25.00607612 0.00095767
24.92785609 0.00095147
24.92785609 0.00095147
24.92785609 0.00095147
25.24840532 0.00097043
17.96253694 0.00089593
17.96253694 0.00089593
17.96253694 0.00089593
17.96253694 0.00089593
17.70574586 0.00086815
17.80162002 0.00078085
17.91205881 0.00077895
17.91205881 0.00077895
17.91205881 0.00077895
17.91205881 0.00077895
18.08542954 0.00077596
18.08542954 0.00077596
18.08542954 0.00077596
18.08542954 0.00077596
18.11364790 0.00077198
18.17295760 0.00076360
18.17295760 0.00076360
18.17295760 0.00076360
18.17295760 0.00076360
18.17295760 0.00076360
