# ['MStar', 'MRate', 'Rdisc']
32.03740571 0.00085960 489.80326886
32.03740571 0.00085960 489.80326886
32.03740571 0.00085960 489.80326886
32.03740571 0.00085960 489.80326886
32.03740571 0.00085960 489.80326886
32.74800752 0.00084733 521.11501936
32.74800752 0.00084733 521.11501936
33.00236800 0.00083041 537.12092497
34.73902428 0.00084986 564.09346652
34.65034498 0.00082327 573.97026806
34.65034498 0.00082327 573.97026806
34.94215413 0.00081155 591.12969562
34.94215413 0.00081155 591.12969562
34.94215413 0.00081155 591.12969562
34.94215413 0.00081155 591.12969562
35.92849371 0.00080697 632.34236214
35.92849371 0.00080697 632.34236214
35.92849371 0.00080697 632.34236214
35.92849371 0.00080697 632.34236214
36.71872848 0.00078163 651.75763681
36.71872848 0.00078163 651.75763681
36.71872848 0.00078163 651.75763681
36.71872848 0.00078163 651.75763681
36.71872848 0.00078163 651.75763681
36.71872848 0.00078163 651.75763681
36.71872848 0.00078163 651.75763681
36.71872848 0.00078163 651.75763681
36.71872848 0.00078163 651.75763681
36.71872848 0.00078163 651.75763681
37.31790735 0.00076966 651.28031871
37.49601183 0.00078366 652.12155833
37.49601183 0.00078366 652.12155833
37.49601183 0.00078366 652.12155833
37.49601183 0.00078366 652.12155833
37.49601183 0.00078366 652.12155833
37.47514398 0.00078329 651.31639008
37.47514398 0.00078329 651.31639008
37.47514398 0.00078329 651.31639008
37.56315152 0.00078919 651.49751069
37.56315152 0.00078919 651.49751069
37.56315152 0.00078919 651.49751069
37.45966837 0.00080301 651.63065614
37.45966837 0.00080301 651.63065614
37.45966837 0.00080301 651.63065614
37.45966837 0.00080301 651.63065614
37.45966837 0.00080301 651.63065614
37.58883553 0.00080634 651.62393426
37.58883553 0.00080634 651.62393426
37.58883553 0.00080634 651.62393426
37.64197755 0.00080770 651.62116873
37.64197755 0.00080770 651.62116873
37.64197755 0.00080770 651.62116873
37.64197755 0.00080770 651.62116873
37.64197755 0.00080770 651.62116873
37.64197755 0.00080770 651.62116873
37.64197755 0.00080770 651.62116873
37.64197755 0.00080770 651.62116873
37.64197755 0.00080770 651.62116873
37.64197755 0.00080770 651.62116873
37.63523822 0.00080992 651.64246799
37.63523822 0.00080992 651.64246799
37.63523822 0.00080992 651.64246799
37.63523822 0.00080992 651.64246799
37.63523822 0.00080992 651.64246799
37.64946160 0.00080890 651.62234926
37.64946160 0.00080890 651.62234926
37.64946160 0.00080890 651.62234926
37.64946160 0.00080890 651.62234926
37.64946160 0.00080890 651.62234926
37.64946160 0.00080890 651.62234926
37.64946160 0.00080890 651.62234926
37.64946160 0.00080890 651.62234926
37.64946160 0.00080890 651.62234926
37.64946160 0.00080890 651.62234926
37.64946160 0.00080890 651.62234926
37.64946160 0.00080890 651.62234926
37.64946160 0.00080890 651.62234926
37.78833576 0.00080865 651.59851979
37.78833576 0.00080865 651.59851979
37.78833576 0.00080865 651.59851979
37.78833576 0.00080865 651.59851979
38.01949118 0.00081782 651.59162731
38.01949118 0.00081782 651.59162731
38.01949118 0.00081782 651.59162731
38.01949118 0.00081782 651.59162731
38.01949118 0.00081782 651.59162731
38.01739682 0.00081811 651.59219126
38.01739682 0.00081811 651.59219126
38.01739682 0.00081811 651.59219126
38.01739682 0.00081811 651.59219126
38.01739682 0.00081811 651.59219126
38.01739682 0.00081811 651.59219126
38.01739682 0.00081811 651.59219126
38.01739682 0.00081811 651.59219126
38.01739682 0.00081811 651.59219126
38.01739682 0.00081811 651.59219126
37.92489897 0.00081678 651.58361045
37.92489897 0.00081678 651.58361045
37.92343874 0.00081685 651.58165269
37.92343874 0.00081685 651.58165269
37.92343874 0.00081685 651.58165269
37.92343874 0.00081685 651.58165269
37.92343874 0.00081685 651.58165269
37.92343874 0.00081685 651.58165269
37.92343874 0.00081685 651.58165269
37.92343874 0.00081685 651.58165269
37.92343874 0.00081685 651.58165269
38.20707700 0.00082162 651.61576215
38.20072294 0.00082131 651.59919142
38.20072294 0.00082131 651.59919142
38.20137512 0.00082180 651.60056223
38.20137512 0.00082180 651.60056223
38.20137512 0.00082180 651.60056223
38.20137512 0.00082180 651.60056223
38.36001492 0.00081975 651.54785736
38.28395782 0.00081440 651.50737615
38.28395782 0.00081440 651.50737615
38.27925513 0.00081409 651.50264762
38.27925513 0.00081409 651.50264762
38.27925513 0.00081409 651.50264762
38.40927653 0.00081333 651.48251609
38.40927653 0.00081333 651.48251609
38.45230758 0.00081780 651.55231519
38.36541951 0.00081703 651.52562135
38.36541951 0.00081703 651.52562135
38.36541951 0.00081703 651.52562135
38.36541951 0.00081703 651.52562135
38.36541951 0.00081703 651.52562135
20.15241743 0.00205522 143.38992769
20.15784704 0.00203733 140.83356443
20.15784704 0.00203733 140.83356443
20.15784704 0.00203733 140.83356443
